uniprot,protein_names,gene_names,WT_p_value,WT_Effect_size,CKO_p_value,CKO_Effect_size,Genotype_p_value,Genotype_Effect_size,Gender_p_value,Genotype_Effect_size
Q8BHC7,Rhomboid-related protein 4,Rhbdd1,0.3456,-0.0575,0.7468,0.02037,0.0001,0.5921,0.7958,-0.04197
Q8BHC9,"Alpha-(1,3)-fucosyltransferase 11",Fut11,0.3903,-0.05238,0.0254,-0.141,0.0522,-0.2022,0.8169,0.03754
Q8BHD7,Polypyrimidine tract-binding protein 3,Ptbp3,0.9275,-0.005546,0.2316,-0.07546,0.0653,-0.192,0.6921,0.06423
Q8BHD8,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2,Pcmtd2,0.3173,-0.06098,0.719,0.02269,0.8718,0.01681,0.655,0.07246
Q8BHE8,"Uncharacterized protein C2orf47 homolog, mitochondrial",,0.7736,0.01754,0.7347,-0.02138,0.4621,-0.0766,0.8887,0.0227
Q8BHF7,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",Pgs1,0.7456,0.01978,0.6722,0.02669,0.121,0.1615,0.7363,-0.05461
Q8BHG1,Nardilysin,Nrd1,0.7251,-0.02144,0.3783,0.05557,0.5657,0.05983,0.7368,0.0545
Q8BHG2,UPF0587 protein C1orf123 homolog,,0.5162,-0.03959,0.5048,-0.04207,0.0797,-0.1825,0.7809,0.0451
Q8BHG9,CGG triplet repeat-binding protein 1,Cggbp1,0.9719,0.002151,0.6843,-0.02565,0.2587,-0.1176,0.8145,0.03805
Q8BHJ5,F-box-like/WD repeat-containing protein TBL1XR1,Tbl1xr1,0.7504,-0.0194,0.7836,0.01732,0.2476,-0.1204,0.8498,0.03071
Q8BHJ9,Pre-mRNA-splicing factor SLU7,Slu7,0.8055,0.01501,0.7873,0.01702,0.0207,-0.241,0.4754,0.1158
Q8BHK1,Magnesium transporter NIPA1,Nipa1,0.133,0.0916,0.1204,0.09797,0.0021,0.3205,0.3739,-0.1442
Q8BHK9,DNA excision repair protein ERCC-6-like,Ercc6l,0.54,-0.03736,0.8975,0.008128,0.3206,-0.1034,0.9892,-0.002189
Q8BHL3,TBC1 domain family member 10B,Tbc1d10b,0.6521,-0.02749,0.5059,-0.04196,0.8279,0.02265,0.7991,-0.04128
Q8BHL4,Retinoic acid-induced protein 3,Gprc5a,0.2797,-0.06591,0.5855,0.0344,0.4999,-0.07027,0.0437,0.3271
Q8BHL5,Engulfment and cell motility protein 2,Elmo2,0.4286,-0.04826,0.7467,-0.02037,0.1978,0.1341,0.909,-0.01853
Q8BHL8,Proteasome inhibitor PI31 subunit,Psmf1,0.9278,0.005526,0.7902,0.01678,0.8296,0.02241,0.8438,-0.03196
Q8BHN0,Protein phosphatase 1L,Ppm1l,0.0837,0.1055,0.5628,-0.0365,0.0048,-0.2939,0.2002,0.2078
Q8BHN1,Gamma-taxilin,Txlng,0.4091,0.05034,0.3555,-0.05829,0.0117,-0.2626,0.6581,-0.07176
Q8BHN3,Neutral alpha-glucosidase AB,Ganab,0.0028,-0.1819,0.1787,0.08482,0.3678,-0.09381,0.7793,-0.04545
Q8BHN3,Neutral alpha-glucosidase AB,Ganab,0.5955,-0.03237,0.7844,-0.01726,0.2543,-0.1187,0.7818,0.04492
Q8BHN5,RNA-binding protein 45,Rbm45,0.5026,-0.04088,0.7375,-0.02114,0.1389,0.1541,0.621,-0.08019
Q8BHN7,Uncharacterized protein C12orf29 homolog,,0.6312,-0.02927,0.3039,0.06485,0.3451,-0.09835,0.4463,0.1235
Q8BHS3,Pre-mRNA-splicing factor RBM22,Rbm22,0.4275,-0.04838,0.8852,0.009106,0.0144,-0.2548,0.5906,0.08725
Q8BHS6,Armadillo repeat-containing X-linked protein 3,Armcx3,0.6645,0.02645,0.4957,0.04297,0.7622,-0.03152,0.3595,-0.1486
Q8BHT6,"Beta-1,3-glucosyltransferase",B3galtl,0.9236,-0.005847,0.2646,-0.07036,0.2686,0.1152,0.9393,-0.01234
Q8BHT7,RAB6A-GEF complex partner protein 2,Rgp1,0.0018,-0.1907,0.0001,-0.2625,0.4749,-0.07442,0.6926,-0.06412
Q8BHX1,HAUS augmin-like complex subunit 1,Haus1,0.7672,0.01805,0.9001,0.007919,0.873,0.01664,0.7861,0.04402
Q8BHY2,Nucleolar complex protein 4 homolog,Noc4l,0.9006,-0.007616,0.6632,-0.02747,0.4121,0.08544,0.8539,-0.02985
Q8BHY3,Anoctamin-1,Ano1,0.5088,-0.04028,0.2579,0.07136,0.0011,0.3395,0.1588,0.2285
Q8BHY8,Sorting nexin-14,Snx14,0.5929,0.0326,0.9206,0.006285,0.2512,0.1195,0.5371,-0.1001
Q8BHZ0,Protein FAM49A,Fam49a,0.0671,0.1116,0.4567,-0.04694,0.0001,0.5567,0.0927,0.2727
Q8BHZ4,Zinc finger protein 592,Znf592,0.466,-0.04445,0.7222,-0.02243,0.0915,-0.1758,0.8185,0.03721
Q8BI06,Cell migration-inducing and hyaluronan-binding protein,Cemip,0.4262,0.04851,0.9965,-0.0002796,0.3023,0.1074,0.1594,-0.2282
Q8BI36,JNK1/MAPK8-associated membrane protein,Jkamp,0.1505,-0.08766,0.0302,0.1367,0.0142,0.2554,0.674,0.06821
Q8BI72,CDKN2A-interacting protein,Cdkn2aip,0.5762,-0.03408,0.8473,0.01214,0.0266,-0.231,0.5871,0.08806
Q8BI84,Melanoma inhibitory activity protein 3,Mia3,0.9717,-0.002161,0.9141,-0.006801,0.5542,0.06161,0.871,-0.02634
Q8BIA4,F-box/WD repeat-containing protein 8,Fbxw8,0.6066,0.03139,0.7936,0.01651,0.9068,0.01219,0.7062,0.06113
Q8BIE6,FERM domain-containing protein 4A,Frmd4a,0.772,0.01767,0.5094,-0.04162,0.112,-0.1655,0.5942,-0.08641
Q8BIF0,CD99 antigen-like protein 2,Cd99l2,0.2967,0.06363,0.1356,-0.09413,0.8616,-0.01816,0.4133,-0.1327
Q8BIG4,F-box only protein 28,Fbxo28,0.5708,0.03457,0.1976,-0.08128,0.6083,-0.05338,0.5733,0.09133
Q8BIG7,Catechol O-methyltransferase domain-containing protein 1,Comtd1,0.7458,0.01977,0.7562,0.01959,0.3903,0.08948,0.876,-0.02532
Q8BIH0,Histone deacetylase complex subunit SAP130,Sap130,0.9454,0.004178,0.8204,-0.01432,0.5898,-0.05615,0.9158,-0.01715
Q8BIJ6,"Isoleucine--tRNA ligase, mitochondrial",Iars2,0.8616,-0.01063,0.8708,0.01026,0.5665,0.0597,0.757,-0.05018
Q8BIJ7,RUN and FYVE domain-containing protein 1,Rufy1,0.8952,0.008031,0.5158,-0.04099,0.0582,-0.1973,0.4949,-0.1107
Q8BIK4,Dedicator of cytokinesis protein 9,Dock9,0.3651,-0.05523,0.0712,-0.1138,0.2477,0.1204,0.6255,-0.07916
Q8BIP0,"Aspartate--tRNA ligase, mitochondrial",Dars2,0.5005,0.04108,0.8715,-0.0102,0.2327,-0.1243,0.7957,0.04198
Q8BIQ5,Cleavage stimulation factor subunit 2,Cstf2,0.5019,-0.04095,0.7318,0.02162,0.3761,-0.09219,0.7877,0.04368
Q8BIS8,Coiled-coil domain-containing protein 126,Ccdc126,0.0818,0.1061,0.0199,0.1469,0.0001,0.4841,0.9064,-0.01906
Q8BIV3,Ran-binding protein 6,Ranbp6,0.2374,-0.07204,0.0659,-0.116,0.0581,-0.1973,0.3722,0.1447
Q8BIW1,Protein prune homolog,Prune,0.5455,-0.03686,0.8979,0.00809,0.5472,0.0627,0.9081,0.01872
Q8BIX3,ARL14 effector protein,Arl14ep,0.4116,-0.05006,0.7817,-0.01748,0.1233,-0.1605,0.9678,0.006542
Q8BJ03,Cytochrome c oxidase assembly protein COX15 homolog,Cox15,0.9354,-0.004944,0.6219,0.03111,0.6742,-0.04378,0.9652,-0.00708
Q8BJ05,Zinc finger CCCH domain-containing protein 14,Zc3h14,0.5456,-0.03685,0.7517,-0.01995,0.1716,-0.1424,0.6006,0.0849
Q8BJ48,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Nagpa,0.2539,-0.06957,0.7807,-0.01756,0.3302,0.1014,0.5688,-0.09241
Q8BJ71,Nuclear pore complex protein Nup93,Nup93,0.2452,-0.07086,0.6344,0.02999,0.1769,-0.1407,0.6039,0.08414
Q8BJ90,Zinc finger protein 771,Znf771,0.8768,-0.009455,0.6924,-0.02496,0.3247,-0.1026,0.3565,-0.1495
Q8BJA3,Homeobox-containing protein 1,Hmbox1,0.1033,-0.09934,0.326,-0.06196,0.0305,-0.2254,0.9142,0.01748
Q8BJF9,Charged multivesicular body protein 2b,Chmp2b,0.7335,0.02076,0.3589,-0.05788,0.0179,0.2467,0.2262,-0.1963
Q8BJH1,Zinc finger C2HC domain-containing protein 1A,Zc2hc1a,0.8996,-0.007693,0.2317,-0.07544,0.287,0.1109,0.505,-0.1081
Q8BJL0,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1,Smarcal1,0.9427,-0.004384,0.431,-0.04967,0.2063,0.1316,0.4223,0.1301
Q8BJL1,F-box only protein 30,Fbxo30,0.9186,0.006229,0.9495,0.003993,0.6627,-0.04543,0.5839,0.08883
Q8BJM3,Coiled-coil domain-containing protein R3HCC1L,R3hcc1l,0.2327,0.07276,0.0313,-0.1358,0.6713,-0.04421,0.8031,-0.04044
Q8BJM5,Zinc transporter 6,Slc30a6,0.7809,-0.01696,0.5388,0.03877,0.3903,-0.08947,0.8755,-0.02541
Q8BJS4,SUN domain-containing protein 2,Sun2,0.5829,-0.03348,0.1727,0.08601,0.0111,-0.2647,0.9557,-0.009015
Q8BJT9,"alpha-1,2-Mannosidase",Edem2,0.8116,0.01453,0.865,0.01072,0.9782,0.002845,0.7934,-0.04246
Q8BJU0,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,Sgta,0.8788,0.009295,0.5764,-0.03524,0.9526,-0.006196,0.6705,0.069
Q8BJU2,Tetraspanin-9,Tspan9,0.3803,-0.05349,0.1402,0.09305,0.243,0.1216,0.8518,-0.0303
Q8BJU9,"Peptide chain release factor 1-like, mitochondrial",Mtrf1l,0.3063,0.06237,0.2818,-0.06789,0.6116,-0.05289,0.6335,0.07732
Q8BJW5,Nucleolar protein 11,Nol11,0.7063,0.02298,0.6887,0.02527,0.5837,0.05707,0.2022,0.2068
Q8BJW6,"Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed",Eif2a,0.8753,-0.009569,0.9104,0.007097,0.7179,0.03763,0.6581,0.07177
Q8BJY1,26S proteasome non-ATPase regulatory subunit 5,Psmd5,0.9442,0.004267,0.5425,0.03841,0.7402,-0.03454,0.9745,0.005176
Q8BJZ4,"28S ribosomal protein S35, mitochondrial",Mrps35,0.8861,0.008732,0.3477,0.05924,0.6909,0.04142,0.9784,-0.004398
Q8BK03,Protein FAM73B,Fam73b,0.2923,0.06421,0.8919,-0.008574,0.6328,0.04976,0.7082,0.06069
Q8BK06,F-box only protein 9,Fbxo9,0.2706,-0.06717,0.5045,-0.0421,0.3968,-0.08825,0.4673,-0.1179
Q8BK08,"Transmembrane protein 11, mitochondrial",Tmem11,0.8589,0.01084,0.5543,0.0373,0.306,-0.1066,0.9718,0.005735
Q8BK30,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",Ndufv3,0.8189,-0.01396,0.5103,-0.04153,0.0633,-0.1935,0.9955,-0.0009191
Q8BK35,,Gltscr2,0.0665,-0.1119,0.002,0.1946,0.4845,-0.07282,0.0975,0.2687
Q8BK48,Pyrethroid hydrolase Ces2e,Ces2e,0.3621,-0.05558,0.8582,-0.01127,0.1279,0.1586,0.4459,0.1236
Q8BK58,HSPB1-associated protein 1,Hspbap1,0.0034,0.1785,0.5562,0.03712,0.4428,0.07994,0.6729,0.06846
Q8BK63,Casein kinase I isoform alpha,Csnk1a1,0.7969,-0.0157,0.7682,0.01859,0.0725,0.1871,0.6496,0.07368
Q8BK63,Casein kinase I isoform alpha,Csnk1a1,0.0017,-0.1918,0.2633,-0.07056,0.3638,0.09459,0.9755,-0.004973
Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1,Ahsa1,0.8676,-0.01017,0.9639,-0.002852,0.6464,0.04778,0.7472,0.05228
Q8BK67,Protein RCC2,Rcc2,0.1563,-0.08645,0.5441,0.03826,0.0008,-0.3475,0.6058,0.08369
Q8BK72,"28S ribosomal protein S27, mitochondrial",Mrps27,0.8034,0.01518,0.8041,0.01564,0.3894,-0.08966,0.9067,0.01901
Q8BKC5,Importin-5,Ipo5,0.7315,0.02092,0.042,0.1283,0.3637,0.09462,0.6196,0.08051
Q8BKC8,Phosphatidylinositol 4-kinase beta,Pi4kb,0.5017,-0.04096,0.4026,0.0528,0.976,-0.003139,0.6164,0.08123
Q8BKE6,Cytochrome P450 20A1,Cyp20a1,0.7073,0.0229,0.2759,0.06873,0.086,0.1789,0.8397,-0.0328
Q8BKE9,Intraflagellar transport protein 74 homolog,Ift74,0.6077,0.0313,0.5254,-0.04006,0.6162,-0.05221,0.9474,-0.0107
Q8BKG3,Inactive tyrosine-protein kinase 7,Ptk7,0.0879,-0.1041,0.4455,-0.04812,0.203,0.1326,0.5953,0.08615
Q8BKH7,Target of rapamycin complex 2 subunit MAPKAP1,Mapkap1,0.7331,-0.02079,0.6999,-0.02431,0.4814,0.07333,0.818,-0.03731
Q8BKI2,Trinucleotide repeat-containing gene 6B protein,Tnrc6b,0.9928,0.0005464,0.7996,-0.01602,0.7256,0.03656,0.7588,-0.0498
Q8BKN5,Gamma-tubulin complex component 5,Tubgcp5,0.0203,0.1415,0.6547,-0.02821,0.0879,-0.1777,0.7586,0.04984
Q8BKR5,Protein phosphatase 1 regulatory subunit 37,Ppp1r37,0.5091,0.04025,0.9157,0.006679,0.954,-0.006005,0.7522,0.0512
Q8BKS9,Pumilio domain-containing protein KIAA0020,Kiaa0020,0.8484,-0.01166,0.3992,0.05318,0.6813,-0.04278,0.432,0.1274
Q8BKT3,GC-rich sequence DNA-binding factor 2,Gcfc2,0.0563,0.1164,0.6744,-0.0265,0.3035,-0.1072,0.4367,-0.1261
Q8BKT7,THO complex subunit 5 homolog,Thoc5,0.7053,0.02306,0.1583,0.08899,0.0107,-0.266,0.4185,0.1312
Q8BKT8,HAUS augmin-like complex subunit 7,Haus7,0.132,0.09184,0.738,0.0211,0.0055,0.2894,0.8162,-0.03769
Q8BKU8,Transmembrane protein 87B,Tmem87b,0.8481,-0.01168,0.117,-0.09886,0.99,-0.001301,0.8416,-0.03241
Q8BKX1,Brain-specific angiogenesis inhibitor 1-associated protein 2,Baiap2,0.0254,0.1363,0.6824,0.02581,0.4314,0.08195,0.9788,0.004306
Q8BKX6,Serine/threonine-protein kinase SMG1,Smg1,0.7017,0.02336,0.8243,-0.014,0.4307,-0.08208,0.912,0.01792
Q8BKY8,"Transcription termination factor 2, mitochondrial",Mterf2,0.7371,0.02047,0.4222,0.05062,0.0042,0.2981,0.8621,-0.02816
Q8BKZ9,"Pyruvate dehydrogenase protein X component, mitochondrial",Pdhx,0.4485,0.04622,0.332,0.06118,0.7328,-0.03556,0.9933,0.001362
Q8BL06,Inactive ubiquitin carboxyl-terminal hydrolase 54,Usp54,0.0047,0.1725,0.0012,0.2049,0.4853,0.07269,0.6952,-0.06354
Q8BL48,RING finger protein unkempt homolog,Unk,0.4278,0.04835,0.7804,-0.01759,0.0295,-0.2267,0.595,0.08622
Q8BL66,Early endosome antigen 1,Eea1,0.9861,-0.001066,0.5492,-0.03778,0.3069,0.1064,0.5731,-0.09137
Q8BL74,General transcription factor 3C polypeptide 2,Gtf3c2,0.0251,-0.1365,0.616,-0.03163,0.0201,-0.2421,0.6278,0.07863
Q8BL80,Rho GTPase-activating protein 22,Arhgap22,0.0885,-0.1039,0.2283,-0.07599,0.0923,-0.1753,0.0827,-0.2814
Q8BL86,Metallo-beta-lactamase domain-containing protein 2,Mblac2,0.1866,-0.08054,0.051,-0.1231,0.7344,0.03533,0.7983,-0.04143
Q8BL95,UPF0769 protein C21orf59 homolog,,0.7783,-0.01717,0.0001,0.3955,0.0004,0.3669,0.2869,0.1727
Q8BL97,Serine/arginine-rich splicing factor 7,Srsf7,0.3652,-0.05521,0.7613,-0.01916,0.0001,-0.3991,0.4952,0.1106
Q8BLF1,Neutral cholesterol ester hydrolase 1,Nceh1,0.862,-0.0106,0.8851,0.009112,0.0112,0.2641,0.6102,0.08268
Q8BLH7,HIRA-interacting protein 3,Hirip3,0.0028,-0.1823,0.8144,0.01481,0.4368,0.08099,0.0901,0.2749
Q8BLI4,Dermatan-sulfate epimerase,Dse,0.7568,0.01888,0.1321,0.09499,0.155,0.1481,0.9771,-0.004663
Q8BLK9,Ribosomal protein S6 kinase delta-1,Rps6kc1,0.1877,-0.08033,0.2278,-0.07607,0.5751,0.05839,0.2415,0.1899
Q8BLN5,Lanosterol synthase,Lss,0.3326,-0.05907,0.8524,-0.01174,0.6384,0.04895,0.7876,0.0437
Q8BLR9,Hypoxia-inducible factor 1-alpha inhibitor,Hif1an,0.1058,0.09861,0.5099,0.04157,0.283,-0.1118,0.4268,0.1289
Q8BLU0,,Flrt2,0.402,-0.0511,0.7727,-0.01822,0.4182,0.08432,0.1098,-0.2594
Q8BLX4,GDP-fucose transporter 1,Slc35c1,0.0109,0.1553,0.3199,-0.06274,0.714,0.03817,0.8018,-0.04071
Q8BLX7,Collagen alpha-1(XVI) chain,Col16a1,0.3595,-0.05587,0.3993,0.05316,0.0727,-0.187,0.7671,0.04802
Q8BLY1,SPARC-related modular calcium-binding protein 1,Smoc1,0.1176,-0.09541,0.0016,-0.199,0.0001,0.5774,0.2151,-0.2011
Q8BLY2,"Probable threonine--tRNA ligase 2, cytoplasmic",Tarsl2,0.2165,-0.07536,0.3958,0.05356,0.9791,0.002726,0.8032,0.04041
Q8BLY7,Hermansky-Pudlak syndrome 6 protein homolog,Hps6,0.2381,-0.07194,0.0627,0.1174,0.0601,-0.1958,0.8224,0.03641
Q8BM39,Pre-mRNA-splicing factor 18,Prpf18,0.5382,-0.03753,0.9137,0.006839,0.1592,-0.1466,0.9063,-0.0191
Q8BM55,Transmembrane protein 214,Tmem214,0.7037,0.02319,0.0994,0.1039,0.0054,0.29,0.4688,0.1175
Q8BM72,Heat shock 70 kDa protein 13,Hspa13,0.66,-0.02682,0.6717,0.02673,0.5319,0.06511,0.4976,-0.11
Q8BM75,AT-rich interactive domain-containing protein 5B,Arid5b,0.8587,0.01085,0.276,0.06872,0.5002,-0.07022,0.9812,-0.003816
Q8BM85,TBC domain-containing protein kinase-like protein,Tbck,0.5638,0.03519,0.5903,0.03396,0.6855,-0.04218,0.6108,-0.08253
Q8BMA3,Connector enhancer of kinase suppressor of ras 3,Cnksr3,0.6011,0.03188,0.0353,0.1328,0.3872,-0.09006,0.7492,0.05184
Q8BMA6,Signal recognition particle subunit SRP68,Srp68,0.8844,-0.008867,0.9875,0.0009908,0.8471,-0.02009,0.5009,0.1091
Q8BMB0,Protein EMSY,Emsy,0.0052,-0.1706,0.495,0.04304,0.0184,-0.2455,0.687,0.06535
Q8BMB3,Eukaryotic translation initiation factor 4E type 2,Eif4e2,0.476,-0.04346,0.7739,-0.01812,0.4632,0.07641,0.9082,0.0187
Q8BMC4,Nucleolar protein 9,Nop9,0.0108,-0.1554,0.744,0.0206,0.0028,0.3112,0.6351,0.07696
Q8BMD6,Transmembrane protein 260,Tmem260,0.4265,0.04849,0.714,0.02312,0.4205,0.08391,0.5961,-0.08594
Q8BMD8,Calcium-binding mitochondrial carrier protein SCaMC-1,Slc25a24,0.3961,0.05174,0.1554,0.08961,0.6994,0.04022,0.7439,-0.05297
Q8BMF4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Dlat,0.5509,0.03636,0.4922,0.04332,0.42,-0.084,0.5312,-0.1016
Q8BMG7,Rab3 GTPase-activating protein non-catalytic subunit,Rab3gap2,0.4247,0.04867,0.7019,0.02414,0.049,0.2051,0.7678,-0.04789
Q8BMG8,Mitochondrial folate transporter/carrier,Slc25a32,0.1888,-0.08014,0.0512,-0.123,0.5759,0.05827,0.6083,-0.08311
Q8BMI0,F-box only protein 38,Fbxo38,0.4859,-0.04249,0.3223,-0.06243,0.7722,-0.03015,0.4771,-0.1153
Q8BMI3,ADP-ribosylation factor-binding protein GGA3,Gga3,0.6736,-0.02568,0.9279,0.005709,0.4843,-0.07285,0.9081,-0.01871
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic",Lars,0.6204,0.0302,0.6691,0.02696,0.0924,0.1753,0.9403,-0.01215
Q8BMJ3,"Eukaryotic translation initiation factor 1A, X-chromosomal",Eif1ax,0.8564,0.01103,0.9463,-0.004248,0.8839,0.0152,0.9663,-0.00685
Q8BMJ7,Cell growth regulator with RING finger domain protein 1,Cgrrf1,0.2331,-0.07271,0.7915,-0.01667,0.0091,0.2718,0.564,-0.09355
Q8BMK4,Cytoskeleton-associated protein 4,Ckap4,0.5015,0.04098,0.8509,0.01186,0.0038,0.3015,0.7712,0.04716
Q8BML1,Protein-methionine sulfoxide oxidase MICAL2,Mical2,0.4959,0.04152,0.9228,0.006114,0.0001,0.6002,0.7699,-0.04744
Q8BML9,,Qars,0.804,0.01513,0.4834,0.0442,0.1293,0.158,0.5715,0.09176
Q8BMP6,Golgi resident protein GCP60,Acbd3,0.5547,0.03602,0.6976,0.02451,0.3306,0.1013,0.9255,-0.01517
Q8BMQ2,General transcription factor 3C polypeptide 4,Gtf3c4,0.4642,-0.04463,0.9787,-0.001684,0.2269,-0.1259,0.6833,0.06617
Q8BMQ8,Vacuolar fusion protein MON1 homolog B,Mon1b,0.5623,-0.03533,0.7321,0.02159,0.9723,0.003621,0.7495,-0.05179
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",Hadha,0.553,0.03617,0.6216,0.03113,0.8951,0.01374,0.6034,-0.08425
Q8BMS4,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",Coq3,0.8771,0.009432,0.2551,0.07178,0.2298,-0.1251,0.7761,-0.04611
Q8BMZ5,tRNA-splicing endonuclease subunit Sen34,Tsen34,0.9784,0.001648,0.7994,0.01603,0.6291,-0.05031,0.8762,0.02527
Q8BN21,Serine/threonine-protein kinase VRK2,Vrk2,0.9592,-0.003119,0.1531,0.09013,0.6076,0.05348,0.9317,0.0139
Q8BNA6,Protocadherin Fat 3,Fat3,0.1239,-0.09382,0.0793,-0.1107,0.0379,0.2162,0.6666,-0.06986
Q8BND3,WD repeat-containing protein 35,Wdr35,0.6024,-0.03176,0.5226,0.04033,0.9311,-0.009009,0.8985,0.02069
Q8BNE1,TRPM8 channel-associated factor 1,Tcaf1,0.0189,-0.1431,0.8087,-0.01527,0.2634,0.1165,0.8946,-0.02148
Q8BNI4,Derlin-2,Derl2,0.8459,0.01185,0.0499,0.1237,0.0002,0.3909,0.9661,0.006882
Q8BNJ2,A disintegrin and metalloproteinase with thrombospondin motifs 4,Adamts4,0.4635,-0.0447,0.0105,0.1614,0.0002,0.3922,0.6142,-0.08175
Q8BNU0,Armadillo repeat-containing protein 6,Armc6,0.4886,0.04223,0.745,0.02052,0.9421,-0.007559,0.8188,0.03716
Q8BNV1,tRNA (uracil-5-)-methyltransferase homolog A,Trmt2a,0.2858,-0.06509,0.7857,-0.01715,0.4428,-0.07995,0.9517,-0.009829
Q8BNY6,Neuronal calcium sensor 1,Ncs1,0.7878,0.01641,0.4795,0.0446,0.5398,0.06386,0.849,-0.03087
Q8BP01,Vimentin-type intermediate filament-associated coiled-coil protein,Vmac,0.873,0.00975,0.0725,-0.1133,0.4006,-0.08756,0.4758,-0.1156
Q8BP22,Protein FAM92A1,Fam92a1,0.0134,-0.1508,0.9917,-0.0006585,0.8669,-0.01746,0.9277,-0.01471
Q8BP27,Swi5-dependent recombination DNA repair protein 1 homolog,Sfr1,0.4878,-0.04231,0.4145,-0.05147,0.2655,-0.116,0.548,0.09742
Q8BP40,Lysophosphatidic acid phosphatase type 6,Acp6,0.6586,-0.02694,0.9768,0.001835,0.0074,-0.2788,0.8694,0.02666
Q8BP47,"Asparagine--tRNA ligase, cytoplasmic",Nars,0.6759,0.02549,0.2285,0.07596,0.0086,0.2739,0.8027,-0.04051
Q8BP48,Methionine aminopeptidase 1,Metap1,0.4305,0.04807,0.6041,0.0327,0.2352,0.1236,0.8249,0.03587
Q8BP56,Acid trehalase-like protein 1,Athl1,0.7785,-0.01715,0.2255,-0.07646,0.4353,-0.08126,0.9629,-0.007547
Q8BP67,60S ribosomal protein L24,Rpl24,0.8234,-0.01361,0.7958,-0.01632,0.0001,0.5596,0.745,0.05276
Q8BP71,RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1,Rbfox2;Rbfox1,0.7356,0.02059,0.9798,-0.001593,0.1035,-0.1696,0.6046,0.08397
Q8BP78,Protein FRA10AC1 homolog,Fra10ac1,0.0001,0.2423,0.8517,-0.0118,0.0001,-0.4028,0.5907,-0.08722
Q8BP92,Reticulocalbin-2,Rcn2,0.4835,0.04272,0.8842,0.009185,0.0192,0.2439,0.9084,-0.01867
Q8BPA8,Protein DPCD,Dpcd,0.3249,0.06003,0.4042,0.05261,0.7422,-0.03426,0.8927,0.02188
Q8BPB5,EGF-containing fibulin-like extracellular matrix protein 1,Efemp1,0.0054,-0.1697,0.099,-0.104,0.0001,-0.747,0.8342,-0.03395
Q8BPG6,Sulfatase-modifying factor 2,Sumf2,0.9441,0.004274,0.7838,0.01731,0.0548,-0.2001,0.8007,0.04094
Q8BPM0,Disheveled-associated activator of morphogenesis 1,Daam1,0.9039,0.007361,0.4034,0.0527,0.471,-0.07508,0.7374,-0.05438
Q8BPM2,Mitogen-activated protein kinase kinase kinase kinase 5,Map4k5,0.5938,0.03252,0.2626,0.07066,0.0044,0.2968,0.7013,0.06221
Q8BPS4,Integral membrane protein GPR180,Gpr180,0.6834,-0.02487,0.3322,0.06116,0.083,0.1806,0.9276,0.01473
Q8BPU7,Engulfment and cell motility protein 1,Elmo1,0.6178,0.03042,0.9139,0.006817,0.6529,0.04685,0.6499,-0.0736
Q8BPZ8,BRCA1-A complex subunit Abraxas,Fam175a,0.637,-0.02877,0.1587,0.0889,0.0046,-0.2952,0.931,-0.01404
Q8BQ30,Phostensin,Ppp1r18,0.8385,0.01242,0.8384,-0.01286,0.8813,0.01555,0.8431,-0.03209
Q8BQ47,Protein canopy homolog 4,Cnpy4,0.5002,0.04111,0.8025,0.01578,0.8346,-0.02175,0.9935,-0.001317
Q8BQ89,LIX1-like protein,Lix1l,0.7488,-0.01952,0.3006,-0.06529,0.0001,-0.4276,0.9793,0.004217
Q8BQM4,HEAT repeat-containing protein 3,Heatr3,0.5527,-0.0362,0.5152,0.04104,0.7597,0.03187,0.6019,0.0846
Q8BQU3,"Succinate dehydrogenase assembly factor 3, mitochondrial",Sdhaf3,0.4117,0.05006,0.6162,-0.03162,0.2766,0.1133,0.6771,-0.06753
Q8BQX5,Transmembrane and coiled-coil domain-containing protein 6,Tmco6,0.7051,-0.02308,0.0085,-0.1659,0.2264,-0.126,0.7411,0.05358
Q8BQZ4,Ral GTPase-activating protein subunit beta,Ralgapb,0.9167,-0.006377,0.8978,-0.008102,0.254,0.1188,0.8823,0.02401
Q8BQZ5,Cleavage and polyadenylation specificity factor subunit 4,Cpsf4,0.4827,-0.0428,0.5627,0.03651,0.0043,-0.2971,0.7414,0.05351
Q8BR63,Protein FAM177A1,Fam177a1,0.2959,0.06373,0.4465,0.04802,0.0001,0.5398,0.6033,-0.08429
